rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama
2386.2,2628.7,107.2,93.31,1282.65,934.11,298.0,400670,901.0,10.0,15.0,0.01,0.11
2533.8,2628.7,107.2,93.31,1282.65,934.11,298.0,377330,925.0,15.0,15.0,0.01,5.26
2386.2,2791.3,107.2,93.31,1282.65,934.11,298.0,377330,925.0,10.0,10.0,0.01,2.35
2533.8,2791.3,107.2,93.31,1282.65,934.11,298.0,400670,901.0,15.0,10.0,0.01,0.12
2386.2,2628.7,100.88,99.08,1282.65,934.11,298.0,377330,925.0,15.0,10.0,0.01,0.48
2533.8,2628.7,100.88,99.08,1282.65,934.11,298.0,400670,901.0,10.0,10.0,0.01,4.84
2386.2,2791.3,100.88,99.08,1282.65,934.11,298.0,400670,901.0,15.0,15.0,0.01,2.58
2533.8,2791.3,100.88,99.08,1282.65,934.11,298.0,377330,925.0,10.0,15.0,0.01,0.49
2386.2,2628.7,107.2,99.08,1282.65,934.11,298.0,400670,925.0,10.0,15.0,0.02,0.0
2533.8,2628.7,107.2,99.08,1282.65,934.11,298.0,377330,901.0,15.0,15.0,0.02,9.41
2386.2,2791.3,107.2,99.08,1282.65,934.11,298.0,377330,901.0,10.0,10.0,0.02,4.18
2533.8,2791.3,107.2,99.08,1282.65,934.11,298.0,400670,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,100.88,93.31,1207.94,991.89,298.0,377330,901.0,10.0,15.0,0.01,0.06
2533.8,2628.7,100.88,93.31,1207.94,991.89,298.0,400670,925.0,15.0,15.0,0.01,5.56
2386.2,2791.3,100.88,93.31,1207.94,991.89,298.0,400670,925.0,10.0,10.0,0.01,2.48
2533.8,2791.3,100.88,93.31,1207.94,991.89,298.0,377330,901.0,15.0,10.0,0.01,0.06
2386.2,2628.7,107.2,93.31,1207.94,991.89,298.0,400670,901.0,15.0,10.0,0.02,0.36
2533.8,2628.7,107.2,93.31,1207.94,991.89,298.0,377330,925.0,10.0,10.0,0.02,8.98
2386.2,2791.3,107.2,93.31,1207.94,991.89,298.0,377330,925.0,15.0,15.0,0.02,4.8
2533.8,2791.3,107.2,93.31,1207.94,991.89,298.0,400670,901.0,10.0,15.0,0.02,0.37
2386.2,2628.7,100.88,99.08,1207.94,991.89,298.0,377330,925.0,10.0,15.0,0.02,0.0
2533.8,2628.7,100.88,99.08,1207.94,991.89,298.0,400670,901.0,15.0,15.0,0.02,9.93
2386.2,2791.3,100.88,99.08,1207.94,991.89,298.0,400670,901.0,10.0,10.0,0.02,4.41
2533.8,2791.3,100.88,99.08,1207.94,991.89,298.0,377330,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,107.2,99.08,1207.94,991.89,298.0,400670,925.0,15.0,10.0,0.01,0.17
2533.8,2628.7,107.2,99.08,1207.94,991.89,298.0,377330,901.0,10.0,10.0,0.01,4.63
2386.2,2791.3,107.2,99.08,1207.94,991.89,298.0,377330,901.0,15.0,15.0,0.01,2.47
2533.8,2791.3,107.2,99.08,1207.94,991.89,298.0,400670,925.0,10.0,15.0,0.01,0.17
2386.2,2628.7,100.88,93.31,1282.65,991.89,298.0,377330,901.0,15.0,15.0,0.02,6.0
2533.8,2628.7,100.88,93.31,1282.65,991.89,298.0,400670,925.0,10.0,15.0,0.02,0.01
2386.2,2791.3,100.88,93.31,1282.65,991.89,298.0,400670,925.0,15.0,10.0,0.02,0.1
2533.8,2791.3,100.88,93.31,1282.65,991.89,298.0,377330,901.0,10.0,10.0,0.02,5.74
2386.2,2628.7,107.2,93.31,1282.65,991.89,298.0,400670,901.0,10.0,10.0,0.01,3.05
2533.8,2628.7,107.2,93.31,1282.65,991.89,298.0,377330,925.0,15.0,10.0,0.01,0.14
2386.2,2791.3,107.2,93.31,1282.65,991.89,298.0,377330,925.0,10.0,15.0,0.01,0.0
2533.8,2791.3,107.2,93.31,1282.65,991.89,298.0,400670,901.0,15.0,15.0,0.01,3.5
2386.2,2628.7,100.88,99.08,1282.65,991.89,298.0,377330,925.0,15.0,15.0,0.01,3.08
2533.8,2628.7,100.88,99.08,1282.65,991.89,298.0,400670,901.0,10.0,15.0,0.01,1.08
2386.2,2791.3,100.88,99.08,1282.65,991.89,298.0,400670,901.0,15.0,10.0,0.01,0.19
2533.8,2791.3,100.88,99.08,1282.65,991.89,298.0,377330,925.0,10.0,10.0,0.01,2.96
2386.2,2628.7,107.2,99.08,1282.65,991.89,298.0,400670,925.0,10.0,10.0,0.02,5.42
2533.8,2628.7,107.2,99.08,1282.65,991.89,298.0,377330,901.0,15.0,10.0,0.02,0.0
2386.2,2791.3,107.2,99.08,1282.65,991.89,298.0,377330,901.0,10.0,15.0,0.02,0.55
2533.8,2791.3,107.2,99.08,1282.65,991.89,298.0,400670,925.0,15.0,15.0,0.02,6.26
